選舉類型,候選人數量
[鄉鎮市民代表]彰化縣大城鄉第4選舉區,4
[鄉鎮市民代表]彰化縣竹塘鄉第1選舉區,5
[鄉鎮市民代表]彰化縣竹塘鄉第2選舉區,2
[鄉鎮市民代表]彰化縣竹塘鄉第3選舉區,5
[鄉鎮市民代表]彰化縣竹塘鄉第4選舉區,5
[鄉鎮市民代表]彰化縣溪州鄉第1選舉區,4
[鄉鎮市民代表]彰化縣溪州鄉第2選舉區,2
[鄉鎮市民代表]彰化縣溪州鄉第3選舉區,6
[鄉鎮市民代表]彰化縣溪州鄉第4選舉區,4
[縣(市)長]南投縣,2
[縣(市)議員]南投縣第1選舉區,16
[縣(市)議員]南投縣第2選舉區,12
[縣(市)議員]南投縣第3選舉區,6
[縣(市)議員]南投縣第4選舉區,9
[縣(市)議員]南投縣第5選舉區,10
[縣(市)議員]南投縣第7選舉區,3
[縣(市)議員]南投縣第8選舉區,3
[縣(市)議員]南投縣第6選舉區,2
[鄉鎮市長]南投縣南投市,3
[鄉鎮市長]南投縣埔里鎮,3
[鄉鎮市長]南投縣草屯鎮,3
[鄉鎮市長]南投縣竹山鎮,3
[鄉鎮市長]南投縣集集鎮,4
[鄉鎮市長]南投縣名間鄉,2
[鄉鎮市長]南投縣鹿谷鄉,2
[鄉鎮市長]南投縣中寮鄉,4
[鄉鎮市長]南投縣魚池鄉,3
[鄉鎮市長]南投縣國姓鄉,2
[鄉鎮市長]南投縣水里鄉,4
[鄉鎮市長]南投縣信義鄉,3
[鄉鎮市長]南投縣仁愛鄉,2
[鄉鎮市民代表]南投縣南投市第1選舉區,6
[鄉鎮市民代表]南投縣南投市第2選舉區,10
[鄉鎮市民代表]南投縣南投市第3選舉區,9
[鄉鎮市民代表]南投縣南投市第4選舉區,1
[鄉鎮市民代表]南投縣埔里鎮第1選舉區,8
[鄉鎮市民代表]南投縣埔里鎮第2選舉區,10
[鄉鎮市民代表]南投縣埔里鎮第3選舉區,5
[鄉鎮市民代表]南投縣埔里鎮第4選舉區,4
[鄉鎮市民代表]南投縣草屯鎮第1選舉區,5
[鄉鎮市民代表]南投縣草屯鎮第2選舉區,10
[鄉鎮市民代表]南投縣草屯鎮第3選舉區,7
[鄉鎮市民代表]南投縣草屯鎮第4選舉區,5
[鄉鎮市民代表]南投縣竹山鎮第1選舉區,9
[鄉鎮市民代表]南投縣竹山鎮第2選舉區,7
[鄉鎮市民代表]南投縣竹山鎮第3選舉區,3
[鄉鎮市民代表]南投縣集集鎮第1選舉區,4
[鄉鎮市民代表]南投縣集集鎮第2選舉區,3
[鄉鎮市民代表]南投縣集集鎮第3選舉區,3
[鄉鎮市民代表]南投縣集集鎮第4選舉區,5
[鄉鎮市民代表]南投縣名間鄉第1選舉區,7
[鄉鎮市民代表]南投縣名間鄉第2選舉區,2
[鄉鎮市民代表]南投縣名間鄉第3選舉區,1
[鄉鎮市民代表]南投縣名間鄉第4選舉區,3
[鄉鎮市民代表]南投縣鹿谷鄉第1選舉區,9
[鄉鎮市民代表]南投縣鹿谷鄉第2選舉區,4
[鄉鎮市民代表]南投縣鹿谷鄉第3選舉區,3
[鄉鎮市民代表]南投縣中寮鄉第1選舉區,6
[鄉鎮市民代表]南投縣中寮鄉第2選舉區,7
[鄉鎮市民代表]南投縣中寮鄉第3選舉區,4
[鄉鎮市民代表]南投縣中寮鄉第4選舉區,3
[鄉鎮市民代表]南投縣魚池鄉第1選舉區,9
[鄉鎮市民代表]南投縣魚池鄉第2選舉區,5
[鄉鎮市民代表]南投縣魚池鄉第3選舉區,5
[鄉鎮市民代表]南投縣國姓鄉第1選舉區,5
[鄉鎮市民代表]南投縣國姓鄉第2選舉區,6
[鄉鎮市民代表]南投縣國姓鄉第3選舉區,3
[鄉鎮市民代表]南投縣國姓鄉第4選舉區,4
[鄉鎮市民代表]南投縣水里鄉第1選舉區,6
[鄉鎮市民代表]南投縣水里鄉第2選舉區,7
[鄉鎮市民代表]南投縣水里鄉第3選舉區,1
[鄉鎮市民代表]南投縣水里鄉第4選舉區,3
[鄉鎮市民代表]南投縣信義鄉第1選舉區,4
[鄉鎮市民代表]南投縣信義鄉第2選舉區,5
[鄉鎮市民代表]南投縣信義鄉第3選舉區,3
[鄉鎮市民代表]南投縣信義鄉第4選舉區,5
[鄉鎮市民代表]南投縣仁愛鄉第1選舉區,5
[鄉鎮市民代表]南投縣仁愛鄉第2選舉區,8
[鄉鎮市民代表]南投縣仁愛鄉第3選舉區,6
[鄉鎮市民代表]南投縣仁愛鄉第4選舉區,2
[縣(市)長]雲林縣,4
[縣(市)議員]雲林縣第1選舉區,17
[縣(市)議員]雲林縣第2選舉區,10
[縣(市)議員]雲林縣第3選舉區,16
[縣(市)議員]雲林縣第4選舉區,11
[縣(市)議員]雲林縣第5選舉區,11
[縣(市)議員]雲林縣第6選舉區,9
[鄉鎮市長]雲林縣斗六市,4
[鄉鎮市長]雲林縣斗南鎮,4
[鄉鎮市長]雲林縣虎尾鎮,4
[鄉鎮市長]雲林縣西螺鎮,5
[鄉鎮市長]雲林縣土庫鎮,3
[鄉鎮市長]雲林縣北港鎮,2
[鄉鎮市長]雲林縣古坑鄉,2
[鄉鎮市長]雲林縣大埤鄉,5
